tier	lineage	cell_type	size_gib	gs_path
DEFER_HUGE	neural	Camiel2023-brain_tissue	296.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Camiel2023/Camiel2023-brain_tissue/fragments_standardized.tar.gz
DEFER_HUGE	neural	Li2023a-brain_tissue	75.8	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Li2023a/Li2023a-brain_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	GI	Zhang2021-intestinal_tissue	0.8	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-intestinal_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	GI	Domcke2020-gastric_tissue	0.6	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-gastric_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	GI	Zhang2021-gastric_tissue	0.6	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-gastric_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	cell_line	Liscovitch-Brauer2021-K562_cells	0.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Liscovitch-Brauer2021/Liscovitch-Brauer2021-K562_cells/fragments_standardized.tar.gz
SKIP_LOWDEPTH	endocrine	Domcke2020-pancreatic_tissue	1.0	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-pancreatic_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	endocrine	Chiou2021-pancreatic_tissue	0.6	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Chiou2021/Chiou2021-pancreatic_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	endocrine	Zhang2021-adrenal_gland	0.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-adrenal_gland/fragments_standardized.tar.gz
SKIP_LOWDEPTH	immune_blood	Buenrostro2018-bone_marrow_tissue	0.9	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Buenrostro2018/Buenrostro2018-bone_marrow_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	immune_blood	Domcke2020-splenic_tissue	0.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-splenic_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	liver	Zhang2021-hepatic_tissue	0.1	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-hepatic_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	lung	Wang2020-pulmonary_tissue	1.0	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Wang2020/Wang2020-pulmonary_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	lung	Zhang2021-pulmonary_tissue	0.7	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-pulmonary_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	neural	Zhang2021-nervous_tissue	0.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-nervous_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	reproductive	Zhang2021-mammary_tissue	0.7	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-mammary_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	reproductive	Zhang2021-uterine_tissue	0.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-uterine_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	reproductive	Zhang2021-ovarian_tissue	0.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-ovarian_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	reproductive	Zhang2021-genital_tissue	0.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-genital_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	stromal_other	Zhang2021-cutaneous_tissue	0.9	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-cutaneous_tissue/fragments_standardized.tar.gz
SKIP_LOWDEPTH	stromal_other	Zhang2021-adipose_tissue	0.6	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-adipose_tissue/fragments_standardized.tar.gz
